name,type,contact_person,phone,email,address,credit_score,id,created_at,updated_at,is_deleted
陈系统,supplier,马桂珍,13758359694,partner16@company.com,上海市小红县平山周路G座 369513,73,17,2025-11-25 20:27:24.581307,2025-11-25 20:27:24.581308,0
廖生物科技,supplier,钱伟,18009550583,partner17@company.com,广东省建县平山哈尔滨街l座 185237,75,18,2025-11-25 20:27:24.581309,2025-11-25 20:27:24.581310,0
游防务,supplier,胡丽丽,13878500118,partner18@company.com,青海省娟市黄浦杜路y座 187662,65,19,2025-11-25 20:27:24.581311,2025-11-25 20:27:24.581312,0
龚网络,supplier,谢利,18935314233,partner19@company.com,北京市西宁县南长香港街U座 596376,98,20,2025-11-25 20:27:24.581313,2025-11-25 20:27:24.581314,0
刘探索公司,supplier,王金凤,13007499397,partner20@company.com,辽宁省超市高坪太原路R座 431790,78,21,2025-11-25 20:27:24.581315,2025-11-25 20:27:24.581316,0
欧网络,supplier,马琴,15330684611,partner21@company.com,新疆维吾尔自治区宜都县高港福州路x座 507105,87,22,2025-11-25 20:27:24.581317,2025-11-25 20:27:24.581318,0
李探索公司,customer,陆艳,15609136493,partner22@company.com,澳门特别行政区乌鲁木齐市萧山萧路f座 565287,69,23,2025-11-25 20:27:24.581319,2025-11-25 20:27:24.581320,0
杨重工,supplier,罗勇,14514244522,partner23@company.com,广东省柳州县牧野汕尾街P座 409401,90,24,2025-11-25 20:27:24.581321,2025-11-25 20:27:24.581322,0
陆实验室,supplier,马楠,18880670050,partner24@company.com,广东省坤县牧野刘街E座 396352,79,25,2025-11-25 20:27:24.581324,2025-11-25 20:27:24.581325,0
谢联合体,customer,曹琳,18784417986,partner25@company.com,福建省辽阳县南湖余街l座 123125,100,26,2025-11-25 20:27:24.581326,2025-11-25 20:27:24.581327,0
罗防务,customer,朱荣,13908347096,partner26@company.com,贵州省桂兰县永川李街l座 291311,100,27,2025-11-25 20:27:24.581328,2025-11-25 20:27:24.581329,0
王网络,supplier,陈秀珍,14561500697,partner27@company.com,新疆维吾尔自治区波市城东杨路z座 548375,84,28,2025-11-25 20:27:24.581330,2025-11-25 20:27:24.581331,0
刘联合体,supplier,赵秀梅,15756276406,partner28@company.com,湖北省乌鲁木齐市普陀台北街p座 666171,78,29,2025-11-25 20:27:24.581332,2025-11-25 20:27:24.581333,0
杨防务,supplier,邓兰英,15007511009,partner29@company.com,黑龙江省昆明市西夏宁德路s座 560874,96,30,2025-11-25 20:27:24.581334,2025-11-25 20:27:24.581335,0
冯实验室,customer,刘斌,15233515541,partner30@company.com,辽宁省岩县蓟州南宁街b座 203273,67,31,2025-11-25 20:27:24.581336,2025-11-25 20:27:24.581337,0
余重工,supplier,石玲,15000144629,partner31@company.com,福建省丽丽县清河张路A座 433041,74,32,2025-11-25 20:27:24.581338,2025-11-25 20:27:24.581339,0
胡矩阵,supplier,陈柳,18064744586,partner32@company.com,云南省嘉禾市清河刘街s座 393614,76,33,2025-11-25 20:27:24.581340,2025-11-25 20:27:24.581341,0
李矩阵,supplier,王岩,18086900801,partner33@company.com,香港特别行政区桂花县华龙符街Z座 610076,90,34,2025-11-25 20:27:24.581343,2025-11-25 20:27:24.581344,0
宋矩阵,supplier,汪秀荣,15925604823,partner34@company.com,澳门特别行政区惠州市浔阳梧州街z座 764498,65,35,2025-11-25 20:27:24.581345,2025-11-25 20:27:24.581346,0
张系统,customer,刘淑英,13541748916,partner35@company.com,山东省华市上街深圳街N座 716712,96,36,2025-11-25 20:27:24.581347,2025-11-25 20:27:24.581348,0
任联合体,supplier,张艳,18678049198,partner36@company.com,香港特别行政区艳市龙潭成都街B座 777736,64,37,2025-11-25 20:27:24.581349,2025-11-25 20:27:24.581350,0
张联合体,customer,崔红梅,15829433492,partner37@company.com,山西省辉市魏都昆明路W座 313680,64,38,2025-11-25 20:27:24.581351,2025-11-25 20:27:24.581352,0
黄联合体,customer,郑海燕,13772730031,partner38@company.com,山东省娟县吉区通辽街U座 532521,68,39,2025-11-25 20:27:24.581353,2025-11-25 20:27:24.581354,0
姚重工,supplier,乔芳,18889960588,partner39@company.com,云南省宜都县高明林路M座 500935,93,40,2025-11-25 20:27:24.581355,2025-11-25 20:27:24.581356,0
蒋工业,customer,王红,13078376982,partner40@company.com,海南省刚县白云庄街Z座 778689,97,41,2025-11-25 20:27:24.581357,2025-11-25 20:27:24.581358,0
庄网络,supplier,王柳,15114110071,partner41@company.com,广东省桂兰市静安崔街N座 432014,82,42,2025-11-25 20:27:24.581359,2025-11-25 20:27:24.581360,0
黄系统,customer,吴雪梅,14584403233,partner42@company.com,广东省汕尾县南溪李街H座 518989,71,43,2025-11-25 20:27:24.581361,2025-11-25 20:27:24.581362,0
张动力,customer,周玲,15088477567,partner43@company.com,黑龙江省涛市魏都乌鲁木齐路K座 560338,82,44,2025-11-25 20:27:24.581364,2025-11-25 20:27:24.581365,0
陈动力,supplier,刘平,15937775343,partner44@company.com,贵州省秀华县友好郑街N座 725708,85,45,2025-11-25 20:27:24.581366,2025-11-25 20:27:24.581367,0
陈防务,supplier,周秀珍,13937291277,partner45@company.com,海南省桂珍市六枝特太原路e座 375346,71,46,2025-11-25 20:27:24.581368,2025-11-25 20:27:24.581369,0
尧重工,customer,唐金凤,15910247349,partner46@company.com,江西省志强县金平合山路u座 753091,88,47,2025-11-25 20:27:24.581370,2025-11-25 20:27:24.581371,0
马实验室,supplier,赵杰,15299497059,partner47@company.com,香港特别行政区永安市金平阜新路W座 156491,95,48,2025-11-25 20:27:24.581372,2025-11-25 20:27:24.581373,0
耿生物科技,supplier,季婷,18122431095,partner48@company.com,北京市文市长寿台北街A座 240742,67,49,2025-11-25 20:27:24.581374,2025-11-25 20:27:24.581375,0
冯工业,supplier,成雷,15546931750,partner49@company.com,澳门特别行政区东县黄浦巢湖街r座 275122,66,50,2025-11-25 20:27:24.581376,2025-11-25 20:27:24.581377,0
王探索公司,supplier,刘欣,18708926466,partner50@company.com,贵州省浩市涪城黄街Q座 443233,68,51,2025-11-25 20:27:24.581378,2025-11-25 20:27:24.581379,0
孙动力,supplier,谷明,18959808459,partner51@company.com,广西壮族自治区颖县大兴江街w座 763992,100,52,2025-11-25 20:27:24.581380,2025-11-25 20:27:24.581381,0
石生物科技,supplier,费建,15533078721,partner52@company.com,福建省婷市沈北新哈尔滨街E座 913703,72,53,2025-11-25 20:27:24.581383,2025-11-25 20:27:24.581384,0
孟联合体,supplier,杨燕,18776942619,partner53@company.com,宁夏回族自治区天津市兴山西宁路n座 917470,92,54,2025-11-25 20:27:24.581385,2025-11-25 20:27:24.581386,0
杨矩阵,supplier,方丹,18292822753,partner54@company.com,广西壮族自治区汕尾市海陵南宁街o座 434769,65,55,2025-11-25 20:27:24.581387,2025-11-25 20:27:24.581388,0
孙探索公司,customer,王桂芳,18237719059,partner55@company.com,广东省阜新市滨城六安街i座 181622,92,56,2025-11-25 20:27:24.581389,2025-11-25 20:27:24.581391,0
李工业,supplier,熊淑兰,15914166423,partner56@company.com,山西省志强县翔安任路J座 264257,67,57,2025-11-25 20:27:24.581392,2025-11-25 20:27:24.581393,0
孙防务,supplier,牛坤,18748043970,partner57@company.com,新疆维吾尔自治区香港市龙潭潘路n座 847344,62,58,2025-11-25 20:27:24.581394,2025-11-25 20:27:24.581395,0
杨系统,customer,崔玉,13123241411,partner58@company.com,黑龙江省西安市沈河王街q座 442197,99,59,2025-11-25 20:27:24.581396,2025-11-25 20:27:24.581397,0
胡联合体,supplier,杨建平,14576874321,partner59@company.com,北京市鑫县丰都嘉禾街f座 478769,89,60,2025-11-25 20:27:24.581398,2025-11-25 20:27:24.581399,0
许工业,supplier,万秀云,13520496754,partner60@company.com,澳门特别行政区南昌县蓟州张家港路j座 928648,89,61,2025-11-25 20:27:24.581401,2025-11-25 20:27:24.581402,0
黄生物科技,customer,高成,15133437108,partner61@company.com,福建省柳市清城汕尾路t座 806261,76,62,2025-11-25 20:27:24.581403,2025-11-25 20:27:24.581404,0
田生物科技,customer,陆霞,13959748939,partner62@company.com,山西省峰市友好郭街H座 636608,96,63,2025-11-25 20:27:24.581405,2025-11-25 20:27:24.581406,0
佟动力,customer,朱莹,15544239493,partner63@company.com,福建省小红县清浦佛山街W座 510527,75,64,2025-11-25 20:27:24.581407,2025-11-25 20:27:24.581408,0
胡防务,supplier,张宇,15907350715,partner64@company.com,内蒙古自治区帆县房山顾街A座 119138,74,65,2025-11-25 20:27:24.581409,2025-11-25 20:27:24.581411,0
马联合体,supplier,邢柳,15067645713,partner65@company.com,福建省合肥县清河东莞街p座 913862,73,66,2025-11-25 20:27:24.581412,2025-11-25 20:27:24.581413,0
余实验室,supplier,刘丽娟,15384910503,partner66@company.com,陕西省海门县海港长沙路L座 179103,64,67,2025-11-25 20:27:24.581414,2025-11-25 20:27:24.581415,0
郭工业,supplier,曾红霞,18031953020,partner67@company.com,浙江省丽娟市江北天津路z座 803371,90,68,2025-11-25 20:27:24.581416,2025-11-25 20:27:24.581417,0
程矩阵,customer,李婷,13061659041,partner68@company.com,台湾省俊县闵行周路a座 636668,99,69,2025-11-25 20:27:24.581418,2025-11-25 20:27:24.581419,0
陈矩阵,customer,张淑华,18966211261,partner69@company.com,重庆市太原县长寿银川街u座 128417,73,70,2025-11-25 20:27:24.581421,2025-11-25 20:27:24.581422,0
王动力,supplier,毛伟,18155413068,partner70@company.com,甘肃省大冶县大东大冶路Q座 988384,96,71,2025-11-25 20:27:24.581423,2025-11-25 20:27:24.581424,0
唐系统,supplier,梁宇,13318778277,partner71@company.com,天津市华县朝阳乌鲁木齐街O座 545857,93,72,2025-11-25 20:27:24.581425,2025-11-25 20:27:24.581426,0
赵重工,customer,林健,18872844731,partner72@company.com,福建省通辽市淄川张路V座 818637,69,73,2025-11-25 20:27:24.581428,2025-11-25 20:27:24.581429,0
刘联合体,customer,王建平,13679287928,partner73@company.com,北京市超县大东刘路B座 891230,70,74,2025-11-25 20:27:24.581430,2025-11-25 20:27:24.581431,0
黎动力,customer,周欢,18862345065,partner74@company.com,湖南省阜新县普陀王路W座 996775,72,75,2025-11-25 20:27:24.581432,2025-11-25 20:27:24.581433,0
罗网络,supplier,李勇,13050388534,partner75@company.com,陕西省芳县梁平古街K座 112383,99,76,2025-11-25 20:27:24.581434,2025-11-25 20:27:24.581435,0
宋系统,supplier,宋辉,13703364295,partner76@company.com,海南省海口县秀英赖路y座 317120,100,77,2025-11-25 20:27:24.581436,2025-11-25 20:27:24.581437,0
曹联合体,supplier,高莹,13845810175,partner77@company.com,北京市淑英县大东陈路R座 319135,85,78,2025-11-25 20:27:24.581438,2025-11-25 20:27:24.581439,0
魏矩阵,supplier,庄玉,13608166675,partner78@company.com,河南省兴城县沙湾大冶路i座 228358,72,79,2025-11-25 20:27:24.581440,2025-11-25 20:27:24.581441,0
潘联合体,customer,尉超,14549650366,partner79@company.com,四川省鑫市翔安易路A座 731811,74,80,2025-11-25 20:27:24.581443,2025-11-25 20:27:24.581444,0
王实验室,supplier,吴秀芳,15057942199,partner80@company.com,河南省雪梅县南溪太原街Z座 669119,66,81,2025-11-25 20:27:24.581445,2025-11-25 20:27:24.581446,0
宿矩阵,supplier,陈刚,13400295432,partner81@company.com,青海省银川市六枝特海口路D座 276482,80,82,2025-11-25 20:27:24.581447,2025-11-25 20:27:24.581448,0
柯探索公司,customer,蔡华,15082283771,partner82@company.com,湖北省齐齐哈尔县山亭孙路z座 304564,94,83,2025-11-25 20:27:24.581449,2025-11-25 20:27:24.581450,0
张生物科技,customer,赵博,18242055783,partner83@company.com,上海市桂兰市城东荆门街K座 973107,76,84,2025-11-25 20:27:24.581451,2025-11-25 20:27:24.581452,0
刘探索公司,customer,黄亮,13357501455,partner84@company.com,湖南省六安市沈北新马街P座 165468,86,85,2025-11-25 20:27:24.581453,2025-11-25 20:27:24.581454,0
冯矩阵,supplier,范静,15184259649,partner85@company.com,北京市建华市魏都长沙路P座 457918,77,86,2025-11-25 20:27:24.581456,2025-11-25 20:27:24.581457,0
朱矩阵,supplier,周瑜,15047277835,partner86@company.com,吉林省秀梅县海港马路B座 284150,79,87,2025-11-25 20:27:24.581458,2025-11-25 20:27:24.581459,0
李重工,customer,陈秀英,15750012987,partner87@company.com,吉林省兴城县蓟州济南路U座 431788,65,88,2025-11-25 20:27:24.581460,2025-11-25 20:27:24.581461,0
陶系统,customer,张桂兰,13045882752,partner88@company.com,湖北省辛集县丰都香港街I座 387394,66,89,2025-11-25 20:27:24.581462,2025-11-25 20:27:24.581463,0
潘联合体,supplier,潘丹,13807448731,partner89@company.com,甘肃省鹏县友好杜街S座 151120,86,90,2025-11-25 20:27:24.581464,2025-11-25 20:27:24.581465,0
刘联合体,customer,吴秀华,18065139029,partner90@company.com,吉林省杨市东城关岭街N座 746424,79,91,2025-11-25 20:27:24.581466,2025-11-25 20:27:24.581467,0
宋实验室,supplier,李楠,15579762508,partner91@company.com,北京市敏县萧山张街N座 369037,67,92,2025-11-25 20:27:24.581468,2025-11-25 20:27:24.581469,0
李重工,supplier,许婷,13326725394,partner92@company.com,四川省福州县清河曾街a座 755413,93,93,2025-11-25 20:27:24.581470,2025-11-25 20:27:24.581471,0
佘实验室,supplier,张伟,18743584988,partner93@company.com,上海市斌县海港康街i座 945857,62,94,2025-11-25 20:27:24.581473,2025-11-25 20:27:24.581474,0
唐生物科技,supplier,阮金凤,15381889846,partner94@company.com,安徽省娟市华龙杨路Q座 537927,69,95,2025-11-25 20:27:24.581475,2025-11-25 20:27:24.581476,0
艾探索公司,supplier,孙敏,13059655688,partner95@company.com,山东省南宁县友好马鞍山路n座 762746,75,96,2025-11-25 20:27:24.581477,2025-11-25 20:27:24.581478,0
侯联合体,supplier,谢磊,18137595377,partner96@company.com,贵州省柳市怀柔成都街L座 449872,61,97,2025-11-25 20:27:24.581479,2025-11-25 20:27:24.581480,0
姜联合体,supplier,李鑫,13140519468,partner97@company.com,天津市林市孝南银川路o座 799600,71,98,2025-11-25 20:27:24.581481,2025-11-25 20:27:24.581482,0
胡联合体,customer,侯梅,13005329479,partner98@company.com,浙江省桂香县大东徐街b座 146962,85,99,2025-11-25 20:27:24.581483,2025-11-25 20:27:24.581484,0
李生物科技,supplier,罗岩,18795870807,partner99@company.com,吉林省潮州县牧野梧州路X座 437855,88,100,2025-11-25 20:27:24.581485,2025-11-25 20:27:24.581486,0
鞠矩阵,customer,阎建华,13158350565,partner100@company.com,上海市济南县南长南京路a座 759375,96,101,2025-11-25 20:27:24.581487,2025-11-25 20:27:24.581488,0
谭生物科技,customer,徐淑珍,14522077427,partner101@company.com,重庆市六安县上街沈阳路O座 366277,70,102,2025-11-25 20:27:24.581490,2025-11-25 20:27:24.581491,0
高动力,customer,黄兰英,15162130772,partner102@company.com,福建省晶县翔安汤路O座 271830,73,103,2025-11-25 20:27:24.581492,2025-11-25 20:27:24.581493,0
何重工,customer,邬婷,13767984174,partner103@company.com,香港特别行政区霞市永川刘街h座 713787,63,104,2025-11-25 20:27:24.581494,2025-11-25 20:27:24.581495,0
贾重工,supplier,翁亮,15849024066,partner104@company.com,福建省潮州市清城吴街P座 889592,84,105,2025-11-25 20:27:24.581496,2025-11-25 20:27:24.581497,0
唐系统,supplier,陈欢,18872650937,partner105@company.com,江苏省呼和浩特市黄浦南宁路Y座 130394,73,106,2025-11-25 20:27:24.581498,2025-11-25 20:27:24.581499,0
黄系统,supplier,张超,18596716865,partner106@company.com,江西省丽华市海陵哈尔滨街I座 492131,90,107,2025-11-25 20:27:24.581500,2025-11-25 20:27:24.581501,0
杨系统,supplier,陈婷,15920342708,partner107@company.com,重庆市桂香市长寿冯街T座 824970,74,108,2025-11-25 20:27:24.581502,2025-11-25 20:27:24.581503,0
李矩阵,customer,魏玉珍,15268765713,partner108@company.com,天津市兰英县东城黄街o座 777898,76,109,2025-11-25 20:27:24.581505,2025-11-25 20:27:24.581505,0
黄矩阵,supplier,刘芳,13844720258,partner109@company.com,安徽省刚县沈河宁德街g座 107255,68,110,2025-11-25 20:27:24.581507,2025-11-25 20:27:24.581508,0
罗系统,supplier,黎柳,18128838710,partner110@company.com,台湾省秀兰县兴山夏路Q座 286327,92,111,2025-11-25 20:27:24.581509,2025-11-25 20:27:24.581510,0
李动力,customer,蒋凤兰,18730724740,partner111@company.com,江西省林市清河桂路v座 278879,71,112,2025-11-25 20:27:24.581511,2025-11-25 20:27:24.581512,0
刘实验室,supplier,赵帆,13644337150,partner112@company.com,山东省东市涪城永安路t座 325837,64,113,2025-11-25 20:27:24.581513,2025-11-25 20:27:24.581514,0
魏生物科技,customer,王莉,15263247217,partner113@company.com,河南省辛集县兴山沈阳街d座 521444,63,114,2025-11-25 20:27:24.581515,2025-11-25 20:27:24.581516,0
何系统,customer,杨杰,15874626534,partner114@company.com,吉林省沈阳县清城淮安街t座 445060,98,115,2025-11-25 20:27:24.581517,2025-11-25 20:27:24.581518,0
张探索公司,supplier,汤波,13329913464,partner115@company.com,山东省济南市魏都陈路U座 118317,63,116,2025-11-25 20:27:24.581519,2025-11-25 20:27:24.581520,0
张防务,supplier,盛静,14523782061,partner116@company.com,福建省柳州市清河马街D座 257502,67,117,2025-11-25 20:27:24.581521,2025-11-25 20:27:24.581522,0
李生物科技,customer,谢荣,15553928337,partner117@company.com,宁夏回族自治区六盘水市西峰成都路l座 416978,73,118,2025-11-25 20:27:24.581523,2025-11-25 20:27:24.581524,0
赵实验室,supplier,王秀云,14760134940,partner118@company.com,黑龙江省荆门市普陀赵街Z座 739693,75,119,2025-11-25 20:27:24.581526,2025-11-25 20:27:24.581527,0
张生物科技,supplier,周畅,14545583180,partner119@company.com,广西壮族自治区桂芝市高明朱路u座 637132,63,120,2025-11-25 20:27:24.581528,2025-11-25 20:27:24.581529,0
徐生物科技,customer,石晶,13937839729,partner120@company.com,河北省玉华县清河梁街c座 155517,81,121,2025-11-25 20:27:24.581530,2025-11-25 20:27:24.581531,0
郑网络,supplier,董伟,18796608854,partner121@company.com,吉林省龙县丰都平路L座 850029,76,122,2025-11-25 20:27:24.581532,2025-11-25 20:27:24.581533,0
巩防务,customer,潘峰,14547963840,partner122@company.com,新疆维吾尔自治区柳县高明宋路C座 133300,96,123,2025-11-25 20:27:24.581534,2025-11-25 20:27:24.581535,0
邹生物科技,supplier,徐佳,15927475142,partner123@company.com,台湾省军县牧野李街x座 232344,92,124,2025-11-25 20:27:24.581536,2025-11-25 20:27:24.581537,0
高动力,supplier,徐洋,15987251955,partner124@company.com,西藏自治区北镇市南溪关岭街A座 430972,97,125,2025-11-25 20:27:24.581538,2025-11-25 20:27:24.581539,0
傅矩阵,customer,王丽丽,14773256119,partner125@company.com,广东省静市东城贵阳路u座 124420,86,126,2025-11-25 20:27:24.581540,2025-11-25 20:27:24.581541,0
董防务,supplier,邱玉梅,18914873629,partner126@company.com,辽宁省武汉市沈北新齐齐哈尔路P座 763314,97,127,2025-11-25 20:27:24.581542,2025-11-25 20:27:24.581544,0
贺动力,customer,桑峰,13852708838,partner127@company.com,海南省龙市涪城汕尾路J座 728310,84,128,2025-11-25 20:27:24.581545,2025-11-25 20:27:24.581546,0
王生物科技,customer,杨伟,13003949823,partner128@company.com,台湾省东莞县秀英刘街F座 756457,97,129,2025-11-25 20:27:24.581547,2025-11-25 20:27:24.581548,0
孙联合体,supplier,向建平,18027447627,partner129@company.com,台湾省广州市合川向街E座 390343,80,130,2025-11-25 20:27:24.581549,2025-11-25 20:27:24.581550,0
李防务,customer,徐玉华,15867815473,partner130@company.com,重庆市涛县双滦黄街V座 603374,73,131,2025-11-25 20:27:24.581551,2025-11-25 20:27:24.581552,0
杨矩阵,customer,向桂珍,18137365806,partner131@company.com,山东省辽阳市六枝特刘路Y座 394591,82,132,2025-11-25 20:27:24.581553,2025-11-25 20:27:24.581554,0
张防务,supplier,朱秀芳,18228770845,partner132@company.com,甘肃省峰县白云梧州路R座 304253,72,133,2025-11-25 20:27:24.581555,2025-11-25 20:27:24.581556,0
梁探索公司,supplier,黎明,18872084108,partner133@company.com,湖北省兴城县长寿武汉路v座 937718,77,134,2025-11-25 20:27:24.581557,2025-11-25 20:27:24.581558,0
罗矩阵,customer,刘强,18520249514,partner134@company.com,台湾省通辽县东城严路V座 719142,69,135,2025-11-25 20:27:24.581559,2025-11-25 20:27:24.581560,0
简实验室,supplier,石华,15668146441,partner135@company.com,西藏自治区金凤市山亭台北路C座 261320,83,136,2025-11-25 20:27:24.581562,2025-11-25 20:27:24.581563,0
王动力,supplier,许涛,15852468845,partner136@company.com,山西省亮市西夏李路j座 163256,77,137,2025-11-25 20:27:24.581564,2025-11-25 20:27:24.581565,0
张实验室,customer,贺敏,15620904859,partner137@company.com,云南省勇县清城何路j座 258720,63,138,2025-11-25 20:27:24.581566,2025-11-25 20:27:24.581567,0
黄网络,customer,王瑞,15709354941,partner138@company.com,山西省沈阳县海陵合肥路d座 130854,64,139,2025-11-25 20:27:24.581568,2025-11-25 20:27:24.581569,0
杨动力,supplier,侯玲,14727072139,partner139@company.com,云南省南昌市长寿呼和浩特街N座 403352,83,140,2025-11-25 20:27:24.581621,2025-11-25 20:27:24.581625,0
徐工业,customer,段刚,15864960068,partner140@company.com,北京市广州市清城武路V座 265875,92,141,2025-11-25 20:27:24.581627,2025-11-25 20:27:24.581628,0
陈探索公司,supplier,杜伟,18128983281,partner141@company.com,湖北省沈阳市孝南鲁路N座 540567,60,142,2025-11-25 20:27:24.581630,2025-11-25 20:27:24.581631,0
岳网络,customer,詹明,14555869466,partner142@company.com,澳门特别行政区惠州县南长淮安街u座 359593,80,143,2025-11-25 20:27:24.581632,2025-11-25 20:27:24.581633,0
杨探索公司,customer,陈坤,18741707479,partner143@company.com,北京市佳市双滦潜江街c座 926293,94,144,2025-11-25 20:27:24.581634,2025-11-25 20:27:24.581635,0
谢工业,supplier,王岩,15357677542,partner144@company.com,云南省静市西夏梧州路a座 941714,80,145,2025-11-25 20:27:24.581636,2025-11-25 20:27:24.581637,0
李矩阵,supplier,骆晶,18619763163,partner145@company.com,天津市佛山县大兴柳州街f座 691041,81,146,2025-11-25 20:27:24.581639,2025-11-25 20:27:24.581640,0
欧阳矩阵,customer,林文,13807848078,partner146@company.com,江苏省凯市永川北镇路P座 279998,85,147,2025-11-25 20:27:24.581641,2025-11-25 20:27:24.581642,0
张动力,supplier,陈红霞,18125708541,partner147@company.com,上海市瑞县丰都萧路P座 550811,64,148,2025-11-25 20:27:24.581643,2025-11-25 20:27:24.581644,0
樊矩阵,supplier,蔡健,15633065958,partner148@company.com,上海市石家庄市长寿陆街G座 347653,62,149,2025-11-25 20:27:24.581645,2025-11-25 20:27:24.581646,0
廖实验室,customer,姚龙,13748579736,partner149@company.com,山西省杭州县合川张家港街c座 811274,73,150,2025-11-25 20:27:24.581647,2025-11-25 20:27:24.581648,0
曾实验室,supplier,林莹,15530780249,partner150@company.com,内蒙古自治区桂珍县黄浦陈街H座 195326,73,151,2025-11-25 20:27:24.581649,2025-11-25 20:27:24.581650,0
文重工,supplier,谢秀梅,18145334038,partner151@company.com,安徽省武汉县新城王街z座 614652,78,152,2025-11-25 20:27:24.581651,2025-11-25 20:27:24.581652,0
耿动力,supplier,张勇,18160530420,partner152@company.com,澳门特别行政区桂芳县浔阳周路v座 336049,80,153,2025-11-25 20:27:24.581654,2025-11-25 20:27:24.581655,0
兰生物科技,customer,翟秀珍,18280200557,partner153@company.com,上海市红市沈河陈街e座 358571,75,154,2025-11-25 20:27:24.581656,2025-11-25 20:27:24.581657,0
余系统,customer,刘琴,13250618497,partner154@company.com,安徽省波县魏都深圳路P座 147057,86,155,2025-11-25 20:27:24.581658,2025-11-25 20:27:24.581659,0
谢探索公司,customer,王欣,15536493951,partner155@company.com,辽宁省波县新城济南街G座 476754,65,156,2025-11-25 20:27:24.581660,2025-11-25 20:27:24.581661,0
田防务,customer,陈岩,18859471898,partner156@company.com,北京市银川县静安温街m座 284327,71,157,2025-11-25 20:27:24.581662,2025-11-25 20:27:24.581663,0
李联合体,supplier,蔡阳,13146337066,partner157@company.com,北京市福州县锡山李路J座 526741,74,158,2025-11-25 20:27:24.581664,2025-11-25 20:27:24.581665,0
杜系统,supplier,杜凤英,15719550072,partner158@company.com,山西省桂香县怀柔段路y座 121589,90,159,2025-11-25 20:27:24.581666,2025-11-25 20:27:24.581667,0
韦生物科技,supplier,陈波,18832809999,partner159@company.com,贵州省淮安县孝南郎路r座 322010,86,160,2025-11-25 20:27:24.581669,2025-11-25 20:27:24.581670,0
张动力,customer,夏宇,15791957316,partner160@company.com,海南省武汉市合川陈街Q座 165682,62,161,2025-11-25 20:27:24.581671,2025-11-25 20:27:24.581672,0
陈重工,customer,何琳,15307686735,partner161@company.com,宁夏回族自治区成都市普陀柳州街I座 178475,86,162,2025-11-25 20:27:24.581673,2025-11-25 20:27:24.581674,0
靳生物科技,customer,岑婷,13372855018,partner162@company.com,重庆市桂英县沙市通辽街G座 455760,64,163,2025-11-25 20:27:24.581675,2025-11-25 20:27:24.581676,0
